[0] Time Stamp,Level,ProviderGuid,EventId,Pid,Tid,ActivityId,LogId,Tag,Msg,SchemaID
2026-03-26T13:44:00.0186220Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,2036,"00000000-0000-0000-0000-000000000000","EtwRawMdmEventsSource","NativeMetricsExtension_Provider","The requested provider Id is enabled in the following session(s). EnableCount: 1", [0]
2026-03-26T13:44:00.0186935Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,2036,"00000000-0000-0000-0000-000000000000","EtwRawMdmEventsSource","NativeMetricsExtension_Provider","Session details. SessionName: ""NativeMetricsExtension_Provider"", IsIndependentSessionMode: true, LogFileModeFlags: 142606592, BufferSizeKb: 1024, MinBuffers: 8, MaxBuffers: 64, CurrentBuffers: 8, BuffersFree: 8, BuffersWritten: 559, BuffersLost: 0, EventsLost: 0", [0]
2026-03-26T13:44:00.0187080Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,2036,"00000000-0000-0000-0000-000000000000","MonitoringAccountManagersCollection","MainLoop","Input data collected. EventsLostLastPeriod: 0, EventsDroppedLastPeriod: 0", [0]
2026-03-26T13:44:00.0187330Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,2036,"00000000-0000-0000-0000-000000000000","MetricsExtensionService","MainLoop","Interning cache state. NextClearTimeUtc: 2026-03-26T13:47:23.274, VolatileCurrentSize: 1, VolatileCurrentSizeInBytes: 120, VolatileSecondarySize: 0, VolatileSecondarySizeInBytes: 0, StaticCacheSize: 46, StaticCacheSizeInBytes: 5712", [0]
2026-03-26T13:44:00.0187792Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,2036,"00000000-0000-0000-0000-000000000000","MetricsExtensionService","MainLoop","Job object info. Job object analysed: ""Job object of ME"", Info: "" TotalUserTime: 62500, TotalKernelTime: 234375, ThisPeriodTotalUserTime: 62500, ThisPeriodTotalKernelTime: 234375, TotalProcesses: 2, ActiveProcesses: 2, PeakProcessMemoryUsed:16949248, PeakJobMemoryUsed: 23597056, RateControlEnabled: 1""", [0]
2026-03-26T13:44:22.1815773Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,3296,"00000000-0000-0000-0000-000000000000","XPlatLib","AmcsConfigFetcher::FetchConfigurationFromAMCS","Configuration request headers - UUID: 6f11d109-80b4-4fdf-b332-7d36a7a1bd46; eTags: ", [0]
2026-03-26T13:44:22.1816116Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,3296,"00000000-0000-0000-0000-000000000000","XPlatLib","AmcsConfigFetcher::FetchConfigurationFromAMCS","Amcs configuration request: https://westus2-5w48.westus2-1.handler.control.monitor.azure.com/subscriptions/351651ce-5feb-4e59-975d-f1f344e2b717/resourcegroups/amawin_group/providers/microsoft.compute/virtualmachines/amawin/meAgentConfigurations?operatingLocation=westus2&includeMeConfig=true&api-version=2024-02-02", [0]
2026-03-26T13:44:22.2289230Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,3296,"00000000-0000-0000-0000-000000000000","XPlatLib","AmcsConfigFetcher::FetchConfigurationFromAMCS","Amcs configuration response status code: 404, configuration string: ", [0]
2026-03-26T13:44:22.2289295Z,3,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,3296,"00000000-0000-0000-0000-000000000000","XPlatLib","AmcsConfigFetcher::FetchConfigurationFromAMCS","No more DCR associated with VM, request to clear cached configuration", [0]
2026-03-26T13:44:22.2289533Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,3296,"00000000-0000-0000-0000-000000000000","XPlatLib","AmcsConfigFetcher::FetchConfig","Configuration will be refreshed from AMCS after 580 seconds", [0]
2026-03-26T13:44:23.9500439Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,2036,"00000000-0000-0000-0000-000000000000","MetricsExtensionService","MainLoop","Diagnostic heartbeat emitted. CurrentRawDataQueueSize: 0, UptimeSec: 2822, EtwEventsDropped: 0, EtwEventsLost: 0, AggregatedMetricsDropped: 0, IsNearingEtwQueueLimit: 0, IsNearingAggregationQueueLimit: 0, IsShuttingDown: false", [0]
