[0] Time Stamp,Level,Pid,CounterName,Sample,IntervalInMs,SchemaID
[1] Time Stamp,ObfuscatedData
2026-01-29T19:31:08.0677479Z,4,5548,"\MaEtwListener\Events Captured",0.000000,10000, [0]
2026-01-29T19:31:08.0677526Z,4,5548,"\MaEtwListener\Events Logged",0.000000,10000, [0]
2026-01-29T19:31:08.0677546Z,4,5548,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:31:08.0677961Z,4,5548,"\Processor(_Total)\% Processor Time",20.202808,10000, [0]
2026-01-29T19:31:08.0678070Z,4,5548,"\Process(MonAgent)\% Processor Time",9.991560,10000, [0]
2026-01-29T19:31:08.0678107Z,4,5548,"\Process(MonAgent)\Handle Count",545.000000,10000, [0]
2026-01-29T19:31:08.0678125Z,4,5548,"\Process(MonAgent)\Thread Count",44.000000,10000, [0]
2026-01-29T19:31:08.0678179Z,4,5548,"\Process(MonAgent)\Private Bytes",14901248.000000,10000, [0]
2026-01-29T19:31:08.0678195Z,4,5548,"\Process(MonAgent)\Private Bytes Peak",40001536.000000,10000, [0]
2026-01-29T19:31:08.0678215Z,4,5548,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:31:08.0678232Z,4,5548,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:31:18.0763209Z,4,5548,"\MaEtwListener\Events Captured",0.000000,10000, [0]
2026-01-29T19:31:18.0763256Z,4,5548,"\MaEtwListener\Events Logged",0.000000,10000, [0]
2026-01-29T19:31:18.0763278Z,4,5548,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:31:18.0764233Z,4,5548,"\Processor(_Total)\% Processor Time",38.007813,10000, [0]
2026-01-29T19:31:18.0764558Z,4,5548,"\Process(MonAgent)\% Processor Time",14.674635,10000, [0]
2026-01-29T19:31:18.0764609Z,4,5548,"\Process(MonAgent)\Handle Count",548.000000,10000, [0]
2026-01-29T19:31:18.0764635Z,4,5548,"\Process(MonAgent)\Thread Count",44.000000,10000, [0]
2026-01-29T19:31:18.0764688Z,4,5548,"\Process(MonAgent)\Private Bytes",14901248.000000,10000, [0]
2026-01-29T19:31:18.0764712Z,4,5548,"\Process(MonAgent)\Private Bytes Peak",40128512.000000,10000, [0]
2026-01-29T19:31:18.0764740Z,4,5548,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:31:18.0764763Z,4,5548,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:31:28.0634227Z,4,5548,"\MaEtwListener\Events Captured",2.000000,10000, [0]
2026-01-29T19:31:28.0634295Z,4,5548,"\MaEtwListener\Events Logged",2.000000,10000, [0]
2026-01-29T19:31:28.0634316Z,4,5548,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:31:28.0635936Z,4,5548,"\Processor(_Total)\% Processor Time",43.427230,10000, [0]
2026-01-29T19:31:28.0636064Z,4,5548,"\Process(MonAgent)\% Processor Time",14.240847,10000, [0]
2026-01-29T19:31:28.0636116Z,4,5548,"\Process(MonAgent)\Handle Count",523.000000,10000, [0]
2026-01-29T19:31:28.0636143Z,4,5548,"\Process(MonAgent)\Thread Count",44.000000,10000, [0]
2026-01-29T19:31:28.0636207Z,4,5548,"\Process(MonAgent)\Private Bytes",14901248.000000,10000, [0]
2026-01-29T19:31:28.0636689Z,4,5548,"\Process(MonAgent)\Private Bytes Peak",40128512.000000,10000, [0]
2026-01-29T19:31:28.0636711Z,4,5548,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:31:28.0636788Z,4,5548,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:31:38.0570747Z,4,5548,"\MaEtwListener\Events Captured",0.000000,10000, [0]
2026-01-29T19:31:38.0570779Z,4,5548,"\MaEtwListener\Events Logged",0.000000,10000, [0]
2026-01-29T19:31:38.0570794Z,4,5548,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:31:38.0574476Z,4,5548,"\Processor(_Total)\% Processor Time",13.593750,10000, [0]
2026-01-29T19:31:38.0574579Z,4,5548,"\Process(MonAgent)\% Processor Time",14.536654,10000, [0]
2026-01-29T19:31:38.0575031Z,4,5548,"\Process(MonAgent)\Handle Count",511.000000,10000, [0]
2026-01-29T19:31:38.0575054Z,4,5548,"\Process(MonAgent)\Thread Count",41.000000,10000, [0]
2026-01-29T19:31:38.0575104Z,4,5548,"\Process(MonAgent)\Private Bytes",35807232.000000,10000, [0]
2026-01-29T19:31:38.0575124Z,4,5548,"\Process(MonAgent)\Private Bytes Peak",40128512.000000,10000, [0]
2026-01-29T19:31:38.0575148Z,4,5548,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:31:38.0575171Z,4,5548,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:34:12.1894620Z,4,2188,"\MaEtwListener\Events Captured",0.000000,10000, [0]
